lamb,seed,n_unobs,n_pos,auc,sib_conv
0.0713,14,210,14,0.9956268221574344,True
0.0713,15,210,6,0.9975490196078431,False
0.0713,16,210,18,0.9869791666666666,True
0.0713,17,210,11,0.946322521699406,False
0.0713,18,210,18,0.9930555555555556,False
0.0713,19,210,16,0.9246134020618556,True
0.0713,20,210,12,0.9882154882154882,True
0.0713,21,210,14,0.96100583090379,True
0.0713,22,210,15,0.9863247863247864,False
0.0713,23,210,13,0.9918000780944944,False
0.0713,24,210,5,0.9385365853658536,True
0.0713,25,210,12,0.9865319865319864,True
0.0713,26,210,25,0.9757837837837838,True
0.0713,27,210,4,0.9720873786407768,True
0.0713,28,210,19,0.9983466519702398,True
0.0713,29,210,21,0.9939531368102796,False
0.0713,30,210,8,0.9665841584158416,True
0.0713,31,210,22,0.9630077369439072,True
0.0713,32,210,17,0.9868942395611092,True
0.0713,33,210,12,0.968013468013468,True
0.0713,34,210,31,0.994593620472157,False
0.0713,35,210,20,0.9936842105263158,True
0.0713,36,210,13,0.9796954314720812,False
0.0713,37,210,24,0.9867831541218638,True
0.0713,38,210,16,0.9974226804123713,True
0.0713,39,210,27,0.9852256628212912,False
0.0713,40,210,23,0.9955824226923972,True
0.0713,41,210,12,0.9890572390572392,True
0.0713,42,210,17,0.9658640658335872,True
0.0713,43,210,21,0.9906777525825144,False
0.0713,44,210,7,0.9943701618578468,True
0.0713,45,210,15,0.9818803418803418,True
0.0713,46,210,27,0.9916008905079944,False
0.0713,47,210,17,0.9935995123437976,True
0.0713,48,210,11,0.99223389675651,False
0.0713,49,210,12,0.8775252525252526,True
0.0713,50,210,12,0.9936868686868688,True
0.1052,1,210,20,0.9897368421052632,False
0.1052,2,210,32,0.7984550561797753,False
0.1052,3,210,30,0.988148148148148,False
0.1052,4,210,23,0.9816321785631248,True
0.1052,5,210,15,0.9952136752136752,True
0.1052,6,210,28,0.9786106750392464,False
0.1052,7,210,20,0.9964473684210524,False
0.1052,8,210,23,0.9979074633806092,True
0.1052,9,210,36,0.9960089399744572,True
0.1052,10,210,44,0.9749452354874042,False
0.1052,11,210,26,0.9607023411371236,False
0.1052,12,210,34,0.9866310160427808,True
0.1052,13,210,15,0.9986324786324786,True
0.1052,14,210,14,0.9916180758017492,True
0.1052,15,210,32,0.9759480337078652,False
0.1052,16,210,10,0.989,False
0.1052,17,210,8,0.999381188118812,True
0.1052,18,210,30,0.9983333333333332,True
0.1052,19,210,27,0.9975713418336368,True
0.1052,20,210,26,0.9862040133779264,False
0.1052,21,210,36,0.9896232439335888,False
0.1052,22,210,36,0.9974457215836524,False
0.1052,23,210,20,0.991842105263158,True
0.1052,24,210,7,0.99155524278677,True
0.1052,25,210,8,0.9873143564356436,True
0.1052,26,210,37,0.9793782221527888,False
0.1052,27,210,13,0.9863334634908238,False
0.1052,28,210,19,0.950399559107192,True
0.1052,29,210,23,0.98651476400837,True
0.1052,30,210,22,0.991779497098646,False
0.1052,31,210,19,0.9848443097271976,False
