lamb,nobs,seed,n_unobs,n_pos,auc,sib_conv
0.07,225,38,75,4,1.0,True
0.07,225,39,75,8,0.9925373134328358,True
0.07,225,40,75,3,0.9861111111111112,True
0.07,225,41,75,8,0.9944029850746268,False
0.07,225,42,75,11,0.978693181818182,True
0.07,225,43,75,6,1.0,False
0.07,225,44,75,8,0.9794776119402984,True
0.07,225,45,75,3,1.0,False
0.07,225,46,75,1,1.0,True
0.07,225,47,75,11,0.984375,False
0.07,225,48,75,2,1.0,True
0.07,225,49,75,8,0.996268656716418,True
0.07,225,50,75,13,0.978908188585608,False
