lamb,n_obs,seed,n_unobs,n_pos,auc,scdc_conv
0.07,0,13,0,0,0.995,false
0.07,0,14,0,0,0.9545454545454546,false
0.07,285,15,15,1,0.9883720930232558,false
0.07,0,16,0,0,0.975,false
0.07,0,17,0,0,1.0,true
0.07,0,18,0,0,1.0,false
0.07,0,19,0,0,1.0,false
0.07,0,20,0,0,1.0,false
0.07,0,21,0,0,0.9318181818181818,false
0.07,0,22,0,0,1.0,true
0.07,0,23,0,0,0.9957264957264957,false
0.07,285,24,15,5,0.9841269841269841,false
0.07,0,25,0,0,1.0,false
0.07,0,26,0,0,0.9545454545454546,true
0.07,0,27,0,0,1.0,false
0.07,0,28,0,0,1.0,false
0.07,0,29,0,0,1.0,true
0.07,0,30,0,0,0.9767441860465116,true
0.07,0,31,0,0,1.0,true
0.07,0,32,0,0,1.0,true
0.07,285,33,15,2,0.9878048780487805,false
0.07,0,34,0,0,1.0,true
0.07,0,35,0,0,1.0,true
0.07,0,36,0,0,1.0,false
0.07,0,37,0,0,0.9634146341463414,true
0.07,0,38,0,0,1.0,true
0.07,0,39,0,0,1.0,true
0.07,0,40,0,0,1.0,false
0.07,0,41,0,0,1.0,false
0.07,285,42,15,1,1.0,false
0.07,0,43,0,0,1.0,true
0.07,0,44,0,0,0.9971428571428571,false
0.07,0,45,0,0,1.0,false
0.07,0,46,0,0,1.0,true
0.07,0,47,0,0,0.9957264957264957,false
0.07,0,48,0,0,1.0,false
0.07,0,49,0,0,0.9920634920634921,true
0.07,0,50,0,0,1.0,false
0.07,285,1,15,3,1.0,true
0.07,0,2,0,0,1.0,true
0.07,0,3,0,0,1.0,true
0.07,0,4,0,0,1.0,false
0.07,0,5,0,0,1.0,true
0.07,0,6,0,0,1.0,false
0.07,0,7,0,0,1.0,false
0.07,0,8,0,0,1.0,true
0.07,0,9,0,0,1.0,false
0.07,0,10,0,0,1.0,false
0.07,0,11,0,0,1.0,true
0.07,0,12,0,0,1.0,true
0.07,0,13,0,0,0.9722222222222222,false
0.07,0,14,0,0,1.0,true
0.07,0,15,0,0,1.0,true
0.07,0,16,0,0,1.0,false
0.07,0,17,0,0,1.0,true
0.07,0,18,0,0,1.0,false
0.07,0,19,0,0,1.0,false
0.07,0,20,0,0,1.0,false
0.07,0,21,0,0,1.0,true
0.07,0,22,0,0,0.9285714285714286,true
0.07,0,23,0,0,1.0,false
0.07,0,24,0,0,0.9285714285714286,false
0.07,0,25,0,0,1.0,false
0.07,0,26,0,0,1.0,true
0.07,0,27,0,0,1.0,false
0.07,0,28,0,0,1.0,false
0.07,0,29,0,0,0.9444444444444444,true
0.07,0,30,0,0,0.9230769230769231,true
0.07,0,31,0,0,1.0,true
0.07,0,32,0,0,1.0,true
0.07,0,33,0,0,1.0,true
0.07,0,34,0,0,1.0,false
0.07,0,35,0,0,1.0,false
0.07,0,36,0,0,1.0,false
0.07,0,37,0,0,1.0,true
0.07,0,38,0,0,1.0,false
0.07,0,39,0,0,1.0,true
0.07,0,40,0,0,1.0,false
0.07,0,41,0,0,0.9285714285714286,false
0.07,0,42,0,0,1.0,false
0.07,0,43,0,0,1.0,true
0.07,0,44,0,0,1.0,true
0.07,0,45,0,0,1.0,false
0.07,0,46,0,0,1.0,true
0.07,0,47,0,0,1.0,false
0.07,0,48,0,0,1.0,true
0.07,0,49,0,0,1.0,true
0.07,0,50,0,0,1.0,false
