lamb,seed,n_unobs,n_pos,auc
0.2294,40,210,57,0.9691549134273592
0.2294,41,210,60,0.9861666666666666
0.2294,42,210,36,0.9985632183908044
0.2294,43,210,60,0.9375555555555556
0.2294,44,210,70,0.9420408163265308
0.2294,45,210,80,0.9477403846153848
0.2294,46,210,59,0.9805814345044336
0.2294,47,210,16,0.9842139175257733
0.2294,48,210,64,0.9403895547945204
0.2294,49,210,57,0.9789015021213164
0.2294,50,210,65,0.9746949602122016
0.3387,1,210,83,0.9707333270088228
0.3387,2,210,115,0.9279176201372996
0.3387,3,210,85,0.9410823529411764
0.3387,4,210,65,0.9811671087533156
0.3387,5,210,45,0.9986531986531986
0.3387,6,210,80,0.8846634615384615
0.3387,7,210,58,0.9723230490018148
0.3387,8,210,16,0.84375
0.3387,9,210,97,0.9753672110208922
0.3387,10,210,48,0.9519675925925924
0.3387,11,210,48,0.9499099794238682
0.3387,12,210,100,0.9459090909090908
0.3387,13,210,100,0.9614090909090908
0.3387,14,210,79,0.956952362547106
0.3387,15,210,78,0.9521658896658898
0.3387,16,210,72,0.9976851851851852
0.3387,17,210,41,0.990907778900274
0.3387,18,210,95,0.9829290617848973
0.3387,19,210,109,0.9256971568716504
0.3387,20,210,72,0.9934581320450886
0.3387,21,210,47,0.9475264325806032
0.3387,22,210,64,0.9660209760273972
0.3387,23,210,68,0.9918703396851698
0.3387,24,210,135,0.964148148148148
0.3387,25,210,69,0.9545174221399938
0.3387,26,210,78,0.9924242424242424
0.3387,27,210,77,0.9774436090225564
0.3387,28,210,59,0.967673139521832
0.3387,29,210,95,0.9760183066361556
0.3387,30,210,49,0.9969577893269108
0.3387,31,210,142,0.9067937033968518
0.3387,32,210,64,0.9947024828767124
0.3387,33,210,73,0.9886011398860114
0.3387,34,210,74,0.9513116057233704
0.3387,35,210,78,0.9997086247086248
0.3387,36,210,44,0.970290251916758
0.3387,37,210,86,0.9750562640660164
0.3387,38,210,37,0.9542259022027808
0.3387,39,210,58,0.9886569872958256
0.3387,40,210,42,0.995890022675737
0.3387,41,210,135,0.973283950617284
0.3387,42,210,33,0.9839924670433146
0.3387,43,210,46,0.9982767762460232
0.3387,44,210,105,0.9673922902494332
0.3387,45,210,52,0.9903846153846154
0.3387,46,210,94,0.9711573734409392
0.3387,47,210,88,0.9866803278688524
0.3387,48,210,73,0.9605539446055394
0.3387,49,210,37,0.9876581784096234
0.3387,50,210,55,1.0
0.5,1,210,89,0.9979570990806946
0.5,2,210,78,0.9717365967365968
0.5,3,210,98,0.9936224489795918
0.5,4,210,85,0.9889882352941176
0.5,5,210,111,0.9892164892164892
0.5,6,210,113,0.9880941519934312
0.5,7,210,156,0.9658119658119658
0.5,8,210,122,0.9874720566318926
0.5,9,210,130,0.9027403846153844
0.5,10,210,116,0.9488719735876744
0.5,11,210,129,0.9905732605991004
0.5,12,210,147,0.9126984126984128
0.5,13,210,159,0.9623258108274756
0.5,14,210,93,0.8935300064332323
0.5,15,210,137,0.9628537146285372
0.5,16,210,123,0.9589757966545184
0.5,17,210,80,0.965096153846154
0.5,18,210,130,0.9429807692307692
0.5,19,210,101,0.961985648106095
0.5,20,210,87,0.984347257265676
0.5,21,210,93,0.9712802132156972
0.5,22,210,161,0.9738243123336292
0.5,23,210,155,0.9808211143695016
0.5,24,210,151,0.9352340330003368
0.5,25,210,136,0.8533883147853737
0.5,26,210,79,0.9488356362933617
0.5,27,210,134,0.8624312647289866
0.5,28,210,59,0.9896733640139184
0.5,29,210,100,0.9549090909090908
0.5,30,210,120,0.9524537037037036
0.5,31,210,71,0.9956935859762892
0.5,32,210,141,0.9629972247918596
0.5,33,210,107,0.9918791398239724
0.5,34,210,122,0.9678185543964232
0.5,35,210,121,0.9927569876497354
0.5,36,210,134,0.9830616653574232
0.5,37,210,149,0.947298932775883
0.5,38,210,116,0.985509904622157
0.5,39,210,79,0.9716880858053918
0.5,40,210,87,0.9814503317446968
0.5,41,210,93,0.9563918757467144
0.5,42,210,100,0.9895909090909092
0.5,43,210,154,0.9672425788497216
0.5,44,210,82,0.966749237804878
0.5,45,210,95,0.9615560640732266
0.5,46,210,121,0.8924226947720308
0.5,47,210,113,0.9608612352887512
0.5,48,210,157,0.9604614829948324
0.5,49,210,100,0.9795
0.5,50,210,138,0.980324074074074
